
Using cuda device
Logging to ./logs/pong/PPO_6
---------------------------------
| rollout/           |          |
|    approx_kl            | 2.596782e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.08        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 7.97         |
|    n_updates            | 190          |
|    policy_gradient_loss | 7.06e-06     |
|    value_loss           | 12.5         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 748           |
|    ep_rew_mean          | -65.7         |
| time/                   |               |
|    fps                  | 660           |
|    iterations           | 21            |
|    time_elapsed         | 260           |
|    total_timesteps      | 172032        |
| train/                  |               |
|    approx_kl            | 3.5451463e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.08         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 4.48          |
|    n_updates            | 200           |
|    policy_gradient_loss | 2.88e-06      |
|    value_loss           | 13.1          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 756           |
|    ep_rew_mean          | -65           |
| time/                   |               |
|    fps                  | 662           |
|    iterations           | 22            |
|    time_elapsed         | 272           |
|    total_timesteps      | 180224        |
| train/                  |               |
|    approx_kl            | 2.3606015e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.08         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 3.16          |
|    n_updates            | 210           |
|    policy_gradient_loss | 8.63e-06      |
|    value_loss           | 13.7          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 738          |
|    ep_rew_mean          | -67.2        |
| time/                   |              |
|    fps                  | 664          |
|    iterations           | 23           |
|    time_elapsed         | 283          |
|    total_timesteps      | 188416       |
| train/                  |              |
|    approx_kl            | 0.0005807162 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.08        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 6.54         |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.000234    |
|    value_loss           | 11.3         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 748          |
|    ep_rew_mean          | -67.4        |
| time/                   |              |
|    fps                  | 663          |
|    iterations           | 24           |
|    time_elapsed         | 296          |
|    total_timesteps      | 196608       |
| train/                  |              |
|    approx_kl            | 0.0014377234 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.07        |
|    explained_variance   | 5.96e-08     |
|    learning_rate        | 0.0003       |
|    loss                 | 10.5         |
|    n_updates            | 230          |
|    policy_gradient_loss | -0.00069     |
|    value_loss           | 14.5         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 758           |
|    ep_rew_mean          | -66.8         |
| time/                   |               |
|    fps                  | 661           |
|    iterations           | 25            |
|    time_elapsed         | 309           |
|    total_timesteps      | 204800        |
| train/                  |               |
|    approx_kl            | 0.00035762988 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.07         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 5.69          |
|    n_updates            | 240           |
|    policy_gradient_loss | -0.000147     |
|    value_loss           | 11.1          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 764          |
|    ep_rew_mean          | -66.8        |
| time/                   |              |
|    fps                  | 660          |
|    iterations           | 26           |
|    time_elapsed         | 322          |
|    total_timesteps      | 212992       |
| train/                  |              |
|    approx_kl            | 0.0016890453 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.07        |
|    explained_variance   | 0            |
|    learning_rate        | 0.0003       |
|    loss                 | 7.95         |
|    n_updates            | 250          |
|    policy_gradient_loss | -0.000763    |
|    value_loss           | 12.3         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 758           |
|    ep_rew_mean          | -68.3         |
| time/                   |               |
|    fps                  | 661           |
|    iterations           | 27            |
|    time_elapsed         | 334           |
|    total_timesteps      | 221184        |
| train/                  |               |
|    approx_kl            | 0.00014953644 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.08         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 3.74          |
|    n_updates            | 260           |
|    policy_gradient_loss | -5.72e-05     |
|    value_loss           | 11            |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 763           |
|    ep_rew_mean          | -69.1         |
| time/                   |               |
|    fps                  | 661           |
|    iterations           | 28            |
|    time_elapsed         | 346           |
|    total_timesteps      | 229376        |
| train/                  |               |
|    approx_kl            | 0.00032532559 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.07         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 4.67          |
|    n_updates            | 270           |
|    policy_gradient_loss | -0.000156     |
|    value_loss           | 12.6          |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 772           |
|    ep_rew_mean          | -68.5         |
| time/                   |               |
|    fps                  | 661           |
|    iterations           | 29            |
|    time_elapsed         | 358           |
|    total_timesteps      | 237568        |
| train/                  |               |
|    approx_kl            | 2.4832181e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.07         |
|    explained_variance   | 0             |
|    learning_rate        | 0.0003        |
|    loss                 | 6.7           |
|    n_updates            | 280           |
|    policy_gradient_loss | 3.53e-06      |
|    value_loss           | 11.6          |
