Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    approx_kl            | 0.018847834 |
|    clip_fraction        | 0.175       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.962      |
|    explained_variance   | 0.729       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.48        |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0201     |
|    value_loss           | 10.1        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -368       |
| time/                   |            |
|    fps                  | 79         |
|    iterations           | 6          |
|    time_elapsed         | 155        |
|    total_timesteps      | 12288      |
| train/                  |            |
|    approx_kl            | 0.01775317 |
|    clip_fraction        | 0.205      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.851     |
|    explained_variance   | 0.716      |
|    learning_rate        | 0.0003     |
|    loss                 | 6.17       |
|    n_updates            | 50         |
|    policy_gradient_loss | -0.02      |
|    value_loss           | 10.7       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -331       |
| time/                   |            |
|    fps                  | 77         |
|    iterations           | 7          |
|    time_elapsed         | 184        |
|    total_timesteps      | 14336      |
| train/                  |            |
|    approx_kl            | 0.02354556 |
|    clip_fraction        | 0.147      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.729     |
|    explained_variance   | 0.785      |
|    learning_rate        | 0.0003     |
|    loss                 | 3.33       |
|    n_updates            | 60         |
|    policy_gradient_loss | -0.0108    |
|    value_loss           | 6.71       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -305        |
| time/                   |             |
|    fps                  | 75          |
|    iterations           | 8           |
|    time_elapsed         | 216         |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.019932311 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.591      |
|    explained_variance   | 0.797       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.39        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0117     |
|    value_loss           | 6.58        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -278        |
| time/                   |             |
|    fps                  | 75          |
|    iterations           | 9           |
|    time_elapsed         | 244         |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.013850499 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.535      |
|    explained_variance   | 0.802       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.43        |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.00402    |
|    value_loss           | 6.9         |
-----------------------------------------
Traceback (most recent call last):
  File "/Users/rishubbhatia/miniforge3/envs/games/lib/python3.10/runpy.py", line 196, in _run_module_as_main
    return _run_code(code, main_globals, None,
  File "/Users/rishubbhatia/miniforge3/envs/games/lib/python3.10/runpy.py", line 86, in _run_code
    exec(code, run_globals)
  File "/Users/rishubbhatia/Documents/master thesis/Master-Thesis-GNN/games/freeway/run_supervised_gnn.py", line 165, in <module>
    model.learn(total_timesteps=1000000, callback=WandbCallback() )
  File "/Users/rishubbhatia/miniforge3/envs/games/lib/python3.10/site-packages/stable_baselines3/ppo/ppo.py", line 315, in learn
    return super().learn(
  File "/Users/rishubbhatia/miniforge3/envs/games/lib/python3.10/site-packages/stable_baselines3/common/on_policy_algorithm.py", line 313, in learn
    self.train()
  File "/Users/rishubbhatia/miniforge3/envs/games/lib/python3.10/site-packages/stable_baselines3/ppo/ppo.py", line 279, in train
    loss.backward()
  File "/Users/rishubbhatia/miniforge3/envs/games/lib/python3.10/site-packages/torch/_tensor.py", line 525, in backward
    torch.autograd.backward(
  File "/Users/rishubbhatia/miniforge3/envs/games/lib/python3.10/site-packages/torch/autograd/__init__.py", line 267, in backward
    _engine_run_backward(
  File "/Users/rishubbhatia/miniforge3/envs/games/lib/python3.10/site-packages/torch/autograd/graph.py", line 744, in _engine_run_backward
    return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
KeyboardInterrupt
