Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./logs/PPO_1
---------------------------------
| rollout/           |          |
|    fps                  | 25          |
|    iterations           | 6           |
|    time_elapsed         | 478         |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.005437885 |
|    clip_fraction        | 0.0165      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.08       |
|    explained_variance   | 0.761       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.53        |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0032     |
|    value_loss           | 7.85        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 700         |
|    ep_rew_mean          | 2.48        |
| time/                   |             |
|    fps                  | 25          |
|    iterations           | 7           |
|    time_elapsed         | 568         |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.011190534 |
|    clip_fraction        | 0.07        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.08       |
|    explained_variance   | 0.756       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.84        |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00665    |
|    value_loss           | 10.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 709         |
|    ep_rew_mean          | 0.739       |
| time/                   |             |
|    fps                  | 24          |
|    iterations           | 8           |
|    time_elapsed         | 661         |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.010398362 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.07       |
|    explained_variance   | 0.697       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.72        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00634    |
|    value_loss           | 7.43        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 718          |
|    ep_rew_mean          | -1.42        |
| time/                   |              |
|    fps                  | 24           |
|    iterations           | 9            |
|    time_elapsed         | 757          |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0094989855 |
|    clip_fraction        | 0.0916       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.06        |
|    explained_variance   | 0.813        |
|    learning_rate        | 0.0003       |
|    loss                 | 2.1          |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.0065      |
|    value_loss           | 6.14         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 707        |
|    ep_rew_mean          | -1.73      |
| time/                   |            |
|    fps                  | 23         |
|    iterations           | 10         |
|    time_elapsed         | 854        |
|    total_timesteps      | 20480      |
| train/                  |            |
|    approx_kl            | 0.00610481 |
|    clip_fraction        | 0.112      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.07      |
|    explained_variance   | 0.747      |
|    learning_rate        | 0.0003     |
|    loss                 | 3.43       |
|    n_updates            | 90         |
|    policy_gradient_loss | -0.00451   |
|    value_loss           | 7.77       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 715         |
|    ep_rew_mean          | 4.66        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 11          |
|    time_elapsed         | 947         |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.007993534 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.07       |
|    explained_variance   | 0.729       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.68        |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00485    |
|    value_loss           | 7.28        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 720          |
|    ep_rew_mean          | 2.47         |
| time/                   |              |
|    fps                  | 23           |
|    iterations           | 12           |
|    time_elapsed         | 1036         |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0112487525 |
|    clip_fraction        | 0.112        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.06        |
|    explained_variance   | 0.758        |
|    learning_rate        | 0.0003       |
|    loss                 | 3.88         |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.00815     |
|    value_loss           | 7.22         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 737        |
|    ep_rew_mean          | 5.72       |
| time/                   |            |
|    fps                  | 23         |
|    iterations           | 13         |
|    time_elapsed         | 1127       |
|    total_timesteps      | 26624      |
| train/                  |            |
|    approx_kl            | 0.01570094 |
|    clip_fraction        | 0.164      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.05      |
|    explained_variance   | 0.537      |
|    learning_rate        | 0.0003     |
|    loss                 | 2.78       |
|    n_updates            | 120        |
|    policy_gradient_loss | -0.014     |
|    value_loss           | 5.46       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 745         |
|    ep_rew_mean          | 6.82        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 14          |
|    time_elapsed         | 1222        |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.013333188 |
|    clip_fraction        | 0.147       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.779       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.94        |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0143     |
|    value_loss           | 4.54        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 745         |
|    ep_rew_mean          | 6.82        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 15          |
|    time_elapsed         | 1315        |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.013781814 |
|    clip_fraction        | 0.173       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.01       |
|    explained_variance   | 0.682       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.37        |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00506    |
|    value_loss           | 4.36        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 855         |
|    ep_rew_mean          | 8.21        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 16          |
|    time_elapsed         | 1406        |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.016046388 |
|    clip_fraction        | 0.193       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.737       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.293       |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.00778    |
|    value_loss           | 1.48        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 860         |
|    ep_rew_mean          | 8.67        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 17          |
|    time_elapsed         | 1501        |
|    total_timesteps      | 34816       |
| train/                  |             |
|    approx_kl            | 0.013055707 |
|    clip_fraction        | 0.212       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.03       |
|    explained_variance   | 0.19        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.509       |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.00871    |
|    value_loss           | 1.24        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 896       |
|    ep_rew_mean          | 11.1      |
| time/                   |           |
|    fps                  | 23        |
|    iterations           | 18        |
|    time_elapsed         | 1595      |
|    total_timesteps      | 36864     |
| train/                  |           |
|    approx_kl            | 0.0151747 |
|    clip_fraction        | 0.184     |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.02     |
|    explained_variance   | 0.578     |
|    learning_rate        | 0.0003    |
|    loss                 | 0.505     |
|    n_updates            | 170       |
|    policy_gradient_loss | -0.00616  |
|    value_loss           | 2.43      |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 908        |
|    ep_rew_mean          | 12.8       |
| time/                   |            |
|    fps                  | 23         |
|    iterations           | 19         |
|    time_elapsed         | 1690       |
|    total_timesteps      | 38912      |
| train/                  |            |
|    approx_kl            | 0.01760971 |
|    clip_fraction        | 0.208      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.03      |
|    explained_variance   | 0.684      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.5        |
|    n_updates            | 180        |
|    policy_gradient_loss | -0.00446   |
|    value_loss           | 3.42       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 908        |
|    ep_rew_mean          | 12.8       |
| time/                   |            |
|    fps                  | 22         |
|    iterations           | 20         |
|    time_elapsed         | 1784       |
|    total_timesteps      | 40960      |
| train/                  |            |
|    approx_kl            | 0.01532482 |
|    clip_fraction        | 0.199      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.01      |
|    explained_variance   | 0.723      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.51       |
|    n_updates            | 190        |
|    policy_gradient_loss | -0.00868   |
|    value_loss           | 2.29       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 977         |
|    ep_rew_mean          | 15          |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 21          |
|    time_elapsed         | 1875        |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.019708412 |
|    clip_fraction        | 0.28        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.972      |
|    explained_variance   | -3.81       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0098     |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.00341    |
|    value_loss           | 0.0484      |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 977       |
|    ep_rew_mean          | 15        |
| time/                   |           |
|    fps                  | 22        |
|    iterations           | 22        |
|    time_elapsed         | 1967      |
|    total_timesteps      | 45056     |
| train/                  |           |
|    approx_kl            | 0.0179337 |
|    clip_fraction        | 0.261     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.994    |
|    explained_variance   | 0.522     |
|    learning_rate        | 0.0003    |
|    loss                 | 0.333     |
|    n_updates            | 210       |
|    policy_gradient_loss | -0.00153  |
|    value_loss           | 1.1       |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 977        |
|    ep_rew_mean          | 15         |
| time/                   |            |
|    fps                  | 22         |
|    iterations           | 23         |
|    time_elapsed         | 2060       |
|    total_timesteps      | 47104      |
| train/                  |            |
|    approx_kl            | 0.01821946 |
|    clip_fraction        | 0.232      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.97      |
|    explained_variance   | -1.5       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00873    |
|    n_updates            | 220        |
|    policy_gradient_loss | -0.00614   |
|    value_loss           | 0.015      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.09e+03    |
|    ep_rew_mean          | 16.1        |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 24          |
|    time_elapsed         | 2153        |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.017997937 |
|    clip_fraction        | 0.221       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.919      |
|    explained_variance   | 0.461       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00917     |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.00103    |
|    value_loss           | 0.00678     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.08e+03    |
|    ep_rew_mean          | 17.1        |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 25          |
|    time_elapsed         | 2242        |
|    total_timesteps      | 51200       |
| train/                  |             |
|    approx_kl            | 0.011046849 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.975      |
|    explained_variance   | 0.542       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.448       |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.00193    |
|    value_loss           | 1.85        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.11e+03    |
|    ep_rew_mean          | 20.2        |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 26          |
|    time_elapsed         | 2329        |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.009772881 |
|    clip_fraction        | 0.0857      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.965      |
|    explained_variance   | 0.861       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.421       |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.00522    |
|    value_loss           | 1.24        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.11e+03    |
|    ep_rew_mean          | 20.2        |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 27          |
|    time_elapsed         | 2416        |
|    total_timesteps      | 55296       |
| train/                  |             |
|    approx_kl            | 0.012335833 |
|    clip_fraction        | 0.119       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.951      |
|    explained_variance   | 0.849       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.815       |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.00469    |
|    value_loss           | 1.59        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.14e+03    |
|    ep_rew_mean          | 23.8        |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 28          |
|    time_elapsed         | 2502        |
|    total_timesteps      | 57344       |
| train/                  |             |
|    approx_kl            | 0.011979666 |
|    clip_fraction        | 0.13        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.977      |
|    explained_variance   | 0.713       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0587      |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.00105    |
|    value_loss           | 0.546       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.13e+03    |
|    ep_rew_mean          | 24.9        |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 29          |
|    time_elapsed         | 2586        |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.015286608 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.966      |
|    explained_variance   | 0.844       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.632       |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.00421    |
|    value_loss           | 1.68        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.13e+03    |
|    ep_rew_mean          | 24.9        |
| time/                   |             |
|    fps                  | 22          |
|    iterations           | 30          |
|    time_elapsed         | 2672        |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.009836575 |
|    clip_fraction        | 0.115       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.971      |
|    explained_variance   | 0.781       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.226       |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.00326    |
|    value_loss           | 1.49        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.13e+03    |
|    ep_rew_mean          | 24.9        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 31          |
|    time_elapsed         | 2757        |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.019354265 |
|    clip_fraction        | 0.254       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.962      |
|    explained_variance   | -2.62       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0437     |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.00639    |
|    value_loss           | 0.0237      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.13e+03    |
|    ep_rew_mean          | 24.9        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 32          |
|    time_elapsed         | 2843        |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.019076498 |
|    clip_fraction        | 0.205       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.946      |
|    explained_variance   | 0.547       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00244    |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.00541    |
|    value_loss           | 0.00763     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.13e+03    |
|    ep_rew_mean          | 24.9        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 33          |
|    time_elapsed         | 2928        |
|    total_timesteps      | 67584       |
| train/                  |             |
|    approx_kl            | 0.018236926 |
|    clip_fraction        | 0.187       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.95       |
|    explained_variance   | 0.887       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.03        |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0025     |
|    value_loss           | 0.00459     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.13e+03    |
|    ep_rew_mean          | 24.9        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 34          |
|    time_elapsed         | 3014        |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.016850872 |
|    clip_fraction        | 0.216       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.907      |
|    explained_variance   | -0.318      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00652    |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.00583    |
|    value_loss           | 0.0447      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.13e+03    |
|    ep_rew_mean          | 24.9        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 35          |
|    time_elapsed         | 3100        |
|    total_timesteps      | 71680       |
| train/                  |             |
|    approx_kl            | 0.023323957 |
|    clip_fraction        | 0.212       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.864      |
|    explained_variance   | -0.614      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0117     |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.00217    |
|    value_loss           | 0.0151      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.36e+03    |
|    ep_rew_mean          | 27.7        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 36          |
|    time_elapsed         | 3186        |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.017958503 |
|    clip_fraction        | 0.207       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.913      |
|    explained_variance   | 0.294       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0869      |
|    n_updates            | 350         |
|    policy_gradient_loss | 0.000954    |
|    value_loss           | 0.688       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.39e+03    |
|    ep_rew_mean          | 28.6        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 37          |
|    time_elapsed         | 3272        |
|    total_timesteps      | 75776       |
| train/                  |             |
|    approx_kl            | 0.011991237 |
|    clip_fraction        | 0.136       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.903      |
|    explained_variance   | 0.743       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.947       |
|    n_updates            | 360         |
|    policy_gradient_loss | 0.000527    |
|    value_loss           | 2.37        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.39e+03   |
|    ep_rew_mean          | 28.6       |
| time/                   |            |
|    fps                  | 23         |
|    iterations           | 38         |
|    time_elapsed         | 3358       |
|    total_timesteps      | 77824      |
| train/                  |            |
|    approx_kl            | 0.01423968 |
|    clip_fraction        | 0.135      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.902     |
|    explained_variance   | 0.823      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.218      |
|    n_updates            | 370        |
|    policy_gradient_loss | -0.00286   |
|    value_loss           | 0.581      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.39e+03    |
|    ep_rew_mean          | 28.6        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 39          |
|    time_elapsed         | 3444        |
|    total_timesteps      | 79872       |
| train/                  |             |
|    approx_kl            | 0.017815916 |
|    clip_fraction        | 0.189       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.911      |
|    explained_variance   | 0.868       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.012      |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.00803    |
|    value_loss           | 0.0918      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.46e+03    |
|    ep_rew_mean          | 30.1        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 40          |
|    time_elapsed         | 3531        |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.024811246 |
|    clip_fraction        | 0.244       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.929      |
|    explained_variance   | 0.502       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0158     |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.00765    |
|    value_loss           | 0.00289     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.47e+03    |
|    ep_rew_mean          | 30.7        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 41          |
|    time_elapsed         | 3619        |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.013420537 |
|    clip_fraction        | 0.167       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.967      |
|    explained_variance   | 0.69        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.103       |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.00359    |
|    value_loss           | 0.89        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.47e+03    |
|    ep_rew_mean          | 30.7        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 42          |
|    time_elapsed         | 3708        |
|    total_timesteps      | 86016       |
| train/                  |             |
|    approx_kl            | 0.009498707 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.962      |
|    explained_variance   | 0.704       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0654      |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.000209   |
|    value_loss           | 0.571       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.47e+03   |
|    ep_rew_mean          | 30.7       |
| time/                   |            |
|    fps                  | 23         |
|    iterations           | 43         |
|    time_elapsed         | 3797       |
|    total_timesteps      | 88064      |
| train/                  |            |
|    approx_kl            | 0.01700164 |
|    clip_fraction        | 0.176      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.913     |
|    explained_variance   | -3.43      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0451     |
|    n_updates            | 420        |
|    policy_gradient_loss | -0.00491   |
|    value_loss           | 0.0274     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.47e+03    |
|    ep_rew_mean          | 30.7        |
| time/                   |             |
|    fps                  | 23          |
|    iterations           | 44          |
|    time_elapsed         | 3887        |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.014674584 |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.928      |
|    explained_variance   | 0.643       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0353     |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.00666    |
|    value_loss           | 0.00282     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.47e+03   |
|    ep_rew_mean          | 30.7       |
| time/                   |            |
|    fps                  | 18         |
|    iterations           | 45         |
|    time_elapsed         | 5028       |
|    total_timesteps      | 92160      |
| train/                  |            |
|    approx_kl            | 0.02045305 |
|    clip_fraction        | 0.198      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.914     |
|    explained_variance   | -2.19      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.028      |
|    n_updates            | 440        |
|    policy_gradient_loss | -0.00402   |
|    value_loss           | 0.0432     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.47e+03    |
|    ep_rew_mean          | 30.7        |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 46          |
|    time_elapsed         | 8173        |
|    total_timesteps      | 94208       |
| train/                  |             |
|    approx_kl            | 0.025198855 |
|    clip_fraction        | 0.171       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.863      |
|    explained_variance   | -0.791      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0129     |
|    n_updates            | 450         |
|    policy_gradient_loss | -0.00414    |
|    value_loss           | 0.0132      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.68e+03   |
|    ep_rew_mean          | 31.6       |
| time/                   |            |
|    fps                  | 9          |
|    iterations           | 47         |
|    time_elapsed         | 10676      |
|    total_timesteps      | 96256      |
| train/                  |            |
|    approx_kl            | 0.01624303 |
|    clip_fraction        | 0.169      |
