Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
---------------------------------
| rollout/           |          |
|    loss                 | 0.484        |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00427     |
|    value_loss           | 2.42         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -215        |
| time/                   |             |
|    fps                  | 69          |
|    iterations           | 11          |
|    time_elapsed         | 325         |
|    total_timesteps      | 22528       |
| train/                  |             |
|    approx_kl            | 0.004654595 |
|    clip_fraction        | 0.0494      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.335      |
|    explained_variance   | 0.86        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.227       |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00637    |
|    value_loss           | 1.68        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -198         |
| time/                   |              |
|    fps                  | 68           |
|    iterations           | 12           |
|    time_elapsed         | 357          |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0019450964 |
|    clip_fraction        | 0.0347       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.265       |
|    explained_variance   | 0.885        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.175        |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.0039      |
|    value_loss           | 1.36         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -179         |
| time/                   |              |
|    fps                  | 68           |
|    iterations           | 13           |
|    time_elapsed         | 390          |
|    total_timesteps      | 26624        |
| train/                  |              |
|    approx_kl            | 0.0029652026 |
|    clip_fraction        | 0.0242       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.236       |
|    explained_variance   | 0.877        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.211        |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00231     |
|    value_loss           | 1.31         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -167        |
| time/                   |             |
|    fps                  | 68          |
|    iterations           | 14          |
|    time_elapsed         | 420         |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.003510932 |
|    clip_fraction        | 0.0336      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.219      |
|    explained_variance   | 0.89        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.541       |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.00452    |
|    value_loss           | 1.42        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -155        |
| time/                   |             |
|    fps                  | 68          |
|    iterations           | 15          |
|    time_elapsed         | 449         |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.004498004 |
|    clip_fraction        | 0.0377      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.188      |
|    explained_variance   | 0.895       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.244       |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.00189    |
|    value_loss           | 0.936       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -145        |
| time/                   |             |
|    fps                  | 68          |
|    iterations           | 16          |
|    time_elapsed         | 479         |
|    total_timesteps      | 32768       |
| train/                  |             |
|    approx_kl            | 0.003525933 |
|    clip_fraction        | 0.0258      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.182      |
|    explained_variance   | 0.907       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.115       |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.00452    |
|    value_loss           | 1.14        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -136       |
| time/                   |            |
|    fps                  | 68         |
|    iterations           | 17         |
|    time_elapsed         | 511        |
|    total_timesteps      | 34816      |
| train/                  |            |
|    approx_kl            | 0.00863684 |
|    clip_fraction        | 0.0371     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.207     |
|    explained_variance   | 0.874      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.113      |
|    n_updates            | 160        |
|    policy_gradient_loss | -0.00704   |
|    value_loss           | 1.12       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -126        |
| time/                   |             |
|    fps                  | 66          |
|    iterations           | 18          |
|    time_elapsed         | 553         |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.008646719 |
|    clip_fraction        | 0.0394      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.189      |
|    explained_variance   | 0.891       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.243       |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.002      |
|    value_loss           | 0.912       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -120        |
| time/                   |             |
|    fps                  | 66          |
|    iterations           | 19          |
|    time_elapsed         | 588         |
|    total_timesteps      | 38912       |
| train/                  |             |
|    approx_kl            | 0.008238037 |
|    clip_fraction        | 0.0438      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.221      |
|    explained_variance   | 0.903       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.134       |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.00934    |
|    value_loss           | 0.703       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -114        |
| time/                   |             |
|    fps                  | 66          |
|    iterations           | 20          |
|    time_elapsed         | 618         |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.009133112 |
|    clip_fraction        | 0.0726      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.302      |
|    explained_variance   | 0.93        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.117       |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.00961    |
|    value_loss           | 0.818       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -105        |
| time/                   |             |
|    fps                  | 66          |
|    iterations           | 21          |
|    time_elapsed         | 648         |
|    total_timesteps      | 43008       |
| train/                  |             |
|    approx_kl            | 0.009894646 |
|    clip_fraction        | 0.101       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.311      |
|    explained_variance   | 0.918       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.31        |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.015      |
|    value_loss           | 0.865       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -99.6       |
| time/                   |             |
|    fps                  | 66          |
|    iterations           | 22          |
|    time_elapsed         | 680         |
|    total_timesteps      | 45056       |
| train/                  |             |
|    approx_kl            | 0.009493053 |
|    clip_fraction        | 0.0875      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.267      |
|    explained_variance   | 0.932       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.192       |
|    n_updates            | 210         |
|    policy_gradient_loss | 0.000226    |
|    value_loss           | 0.92        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -93.2      |
| time/                   |            |
|    fps                  | 66         |
|    iterations           | 23         |
|    time_elapsed         | 709        |
|    total_timesteps      | 47104      |
| train/                  |            |
|    approx_kl            | 0.01093176 |
|    clip_fraction        | 0.0968     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.254     |
|    explained_variance   | 0.91       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.118      |
|    n_updates            | 220        |
|    policy_gradient_loss | -0.00303   |
|    value_loss           | 1.02       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -87.8       |
| time/                   |             |
|    fps                  | 66          |
|    iterations           | 24          |
|    time_elapsed         | 738         |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.008846303 |
|    clip_fraction        | 0.0772      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.227      |
|    explained_variance   | 0.91        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.179       |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.00274    |
|    value_loss           | 0.85        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -84.7       |
| time/                   |             |
|    fps                  | 66          |
|    iterations           | 25          |
|    time_elapsed         | 767         |
|    total_timesteps      | 51200       |
| train/                  |             |
|    approx_kl            | 0.013023608 |
|    clip_fraction        | 0.0877      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.229      |
|    explained_variance   | 0.899       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0894      |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.00939    |
|    value_loss           | 0.838       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -81.1       |
| time/                   |             |
|    fps                  | 66          |
|    iterations           | 26          |
|    time_elapsed         | 797         |
|    total_timesteps      | 53248       |
| train/                  |             |
|    approx_kl            | 0.012500611 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.255      |
|    explained_variance   | 0.901       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0809      |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.00775    |
|    value_loss           | 0.799       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -78.2       |
| time/                   |             |
|    fps                  | 66          |
|    iterations           | 27          |
|    time_elapsed         | 829         |
|    total_timesteps      | 55296       |
| train/                  |             |
|    approx_kl            | 0.008944324 |
|    clip_fraction        | 0.0873      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.257      |
|    explained_variance   | 0.922       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.114       |
|    n_updates            | 260         |
|    policy_gradient_loss | 0.00102     |
|    value_loss           | 0.632       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -74.7        |
| time/                   |              |
|    fps                  | 66           |
|    iterations           | 28           |
|    time_elapsed         | 861          |
|    total_timesteps      | 57344        |
| train/                  |              |
|    approx_kl            | 0.0155390585 |
|    clip_fraction        | 0.0989       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.258       |
|    explained_variance   | 0.916        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.193        |
|    n_updates            | 270          |
|    policy_gradient_loss | -0.0072      |
|    value_loss           | 0.893        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -70.8       |
| time/                   |             |
|    fps                  | 66          |
|    iterations           | 29          |
|    time_elapsed         | 899         |
|    total_timesteps      | 59392       |
| train/                  |             |
|    approx_kl            | 0.012642397 |
|    clip_fraction        | 0.0892      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.193      |
|    explained_variance   | 0.936       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.124       |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.00658    |
|    value_loss           | 0.708       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -67.9        |
| time/                   |              |
|    fps                  | 65           |
|    iterations           | 30           |
|    time_elapsed         | 931          |
|    total_timesteps      | 61440        |
| train/                  |              |
|    approx_kl            | 0.0077422825 |
|    clip_fraction        | 0.0498       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.142       |
|    explained_variance   | 0.916        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.156        |
|    n_updates            | 290          |
|    policy_gradient_loss | -0.00384     |
|    value_loss           | 0.776        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -64.8       |
| time/                   |             |
|    fps                  | 65          |
|    iterations           | 31          |
|    time_elapsed         | 970         |
|    total_timesteps      | 63488       |
| train/                  |             |
|    approx_kl            | 0.015266851 |
|    clip_fraction        | 0.075       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.182      |
|    explained_variance   | 0.914       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.099       |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.019      |
|    value_loss           | 0.611       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -61.5       |
| time/                   |             |
|    fps                  | 65          |
|    iterations           | 32          |
|    time_elapsed         | 1005        |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.008056385 |
|    clip_fraction        | 0.0481      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.168      |
|    explained_variance   | 0.94        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0431      |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.00747    |
|    value_loss           | 0.702       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -59.7      |
| time/                   |            |
|    fps                  | 65         |
|    iterations           | 33         |
|    time_elapsed         | 1036       |
|    total_timesteps      | 67584      |
| train/                  |            |
|    approx_kl            | 0.01831215 |
|    clip_fraction        | 0.0826     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.193     |
|    explained_variance   | 0.933      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0276     |
|    n_updates            | 320        |
|    policy_gradient_loss | -0.011     |
|    value_loss           | 0.5        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -57.1       |
| time/                   |             |
|    fps                  | 65          |
|    iterations           | 34          |
|    time_elapsed         | 1068        |
|    total_timesteps      | 69632       |
| train/                  |             |
|    approx_kl            | 0.007467304 |
|    clip_fraction        | 0.0623      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.189      |
|    explained_variance   | 0.934       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0742      |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.00603    |
|    value_loss           | 0.709       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -54.6       |
| time/                   |             |
|    fps                  | 65          |
|    iterations           | 35          |
|    time_elapsed         | 1101        |
|    total_timesteps      | 71680       |
| train/                  |             |
|    approx_kl            | 0.009786412 |
|    clip_fraction        | 0.0588      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.169      |
|    explained_variance   | 0.915       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0842      |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0132     |
|    value_loss           | 0.599       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -54          |
| time/                   |              |
|    fps                  | 65           |
|    iterations           | 36           |
|    time_elapsed         | 1133         |
|    total_timesteps      | 73728        |
| train/                  |              |
|    approx_kl            | 0.0149544785 |
|    clip_fraction        | 0.0797       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.173       |
|    explained_variance   | 0.873        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.167        |
|    n_updates            | 350          |
|    policy_gradient_loss | -0.0163      |
|    value_loss           | 0.958        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -52.3        |
| time/                   |              |
|    fps                  | 65           |
|    iterations           | 37           |
|    time_elapsed         | 1165         |
|    total_timesteps      | 75776        |
| train/                  |              |
|    approx_kl            | 0.0130728055 |
|    clip_fraction        | 0.0942       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.219       |
|    explained_variance   | 0.938        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0727       |
|    n_updates            | 360          |
|    policy_gradient_loss | 0.000671     |
|    value_loss           | 0.588        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -49.6       |
| time/                   |             |
|    fps                  | 64          |
|    iterations           | 38          |
|    time_elapsed         | 1197        |
|    total_timesteps      | 77824       |
| train/                  |             |
|    approx_kl            | 0.007846739 |
|    clip_fraction        | 0.0667      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.161      |
|    explained_variance   | 0.902       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0842      |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.00441    |
|    value_loss           | 0.751       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -47.3       |
| time/                   |             |
|    fps                  | 65          |
|    iterations           | 39          |
|    time_elapsed         | 1228        |
|    total_timesteps      | 79872       |
| train/                  |             |
|    approx_kl            | 0.010306433 |
|    clip_fraction        | 0.0657      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.15       |
|    explained_variance   | 0.929       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0706      |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.00569    |
|    value_loss           | 0.772       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -45.4        |
| time/                   |              |
|    fps                  | 65           |
|    iterations           | 40           |
|    time_elapsed         | 1259         |
|    total_timesteps      | 81920        |
| train/                  |              |
|    approx_kl            | 0.0080499295 |
|    clip_fraction        | 0.0655       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.117       |
|    explained_variance   | 0.92         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0398       |
|    n_updates            | 390          |
|    policy_gradient_loss | 0.00177      |
|    value_loss           | 0.519        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -43.4       |
| time/                   |             |
|    fps                  | 65          |
|    iterations           | 41          |
|    time_elapsed         | 1290        |
|    total_timesteps      | 83968       |
| train/                  |             |
|    approx_kl            | 0.011366641 |
|    clip_fraction        | 0.0543      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.133      |
|    explained_variance   | 0.933       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.102       |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.00711    |
|    value_loss           | 0.487       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -40.9        |
| time/                   |              |
|    fps                  | 65           |
|    iterations           | 42           |
|    time_elapsed         | 1321         |
|    total_timesteps      | 86016        |
| train/                  |              |
|    approx_kl            | 0.0104694115 |
|    clip_fraction        | 0.0604       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.135       |
|    explained_variance   | 0.913        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0542       |
|    n_updates            | 410          |
|    policy_gradient_loss | -0.00695     |
|    value_loss           | 0.853        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -39.1       |
| time/                   |             |
|    fps                  | 65          |
|    iterations           | 43          |
|    time_elapsed         | 1354        |
|    total_timesteps      | 88064       |
| train/                  |             |
|    approx_kl            | 0.012751656 |
|    clip_fraction        | 0.0689      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.176      |
|    explained_variance   | 0.914       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0526      |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0113     |
|    value_loss           | 0.552       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -37.1       |
| time/                   |             |
|    fps                  | 65          |
|    iterations           | 44          |
|    time_elapsed         | 1386        |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.009511324 |
|    clip_fraction        | 0.0565      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.146      |
|    explained_variance   | 0.919       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0821      |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.00804    |
|    value_loss           | 0.629       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -35.2      |
| time/                   |            |
|    fps                  | 65         |
|    iterations           | 45         |
|    time_elapsed         | 1415       |
|    total_timesteps      | 92160      |
| train/                  |            |
|    approx_kl            | 0.01745116 |
|    clip_fraction        | 0.0767     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.149     |
|    explained_variance   | 0.903      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.162      |
|    n_updates            | 440        |
|    policy_gradient_loss | -0.013     |
|    value_loss           | 0.678      |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | -33.4      |
| time/                   |            |
|    fps                  | 65         |
|    iterations           | 46         |
|    time_elapsed         | 1445       |
|    total_timesteps      | 94208      |
| train/                  |            |
|    approx_kl            | 0.01526574 |
|    clip_fraction        | 0.0935     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.103     |
|    explained_variance   | 0.923      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0285     |
|    n_updates            | 450        |
|    policy_gradient_loss | 0.00417    |
|    value_loss           | 0.565      |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 1e+03     |
|    ep_rew_mean          | -31.5     |
| time/                   |           |
|    fps                  | 65        |
|    iterations           | 47        |
|    time_elapsed         | 1474      |
|    total_timesteps      | 96256     |
| train/                  |           |
|    approx_kl            | 0.0079501 |
|    clip_fraction        | 0.0375    |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.0964   |
|    explained_variance   | 0.917     |
